name,ccb,logmh,ccr,dedeg,fhi,morphel,modelu_rcorr,r50,fg,fc,fa,r90,modelu_j,den1mpc,grp,absrmag,grpcz,fmorphel,cz,radeg,logmstar
ECO03430,1.0,12.71,1.15,28.817,1,L,1.36,9.9,0,0,0,21.5,3.24,2.32,750,-19.88,3874.1,2,3866.7,183.102,9.81
ECO03431,1.0,12.95,1.15,15.396,1,E,2.04,4.3,1,0,1,14.8,3.43,2.01,1328,-20.24,7003.1,1,7074.5,183.105,9.91
ECO03432,1.0,12.71,1.17,29.149,1,E,2.71,6.1,0,0,0,24.4,3.91,2.36,750,-20.58,3874.1,1,4016.8,183.112,10.29
ECO03433,1.0,12.13,1.0,39.111,1,L,1.59,11.6,0,1,0,39.5,2.71,1.21,2773,-21.64,7109.2,2,7109.2,183.116,10.37
ECO03434,1.0,12.95,1.04,15.271,1,L,2.05,8.7,1,0,1,32.0,3.53,1.98,1328,-21.22,7003.1,2,7018.2,183.13,10.57
ECO03435,1.0,12.71,1.1,29.169,1,L,2.67,22.0,0,0,0,51.6,3.92,2.41,750,-20.82,3874.1,2,3920.3,183.13,10.45
ECO03436,1.0,11.47,1.07,12.31,2,L,1.26,12.3,1,1,1,23.2,2.82,0.64,2774,-20.43,6906.3,1,6906.3,183.135,9.93
ECO03437,1.0,11.78,1.04,40.564,1,L,1.28,17.1,0,1,0,42.4,3.05,1.34,2775,-21.14,6925.9,1,6925.9,183.169,10.23
ECO03438,1.0,12.47,1.01,46.773,1,E,2.32,14.4,0,1,0,68.4,3.86,2.06,2776,-22.07,7288.1,2,7299.5,183.208,11.07
ECO03439,1.0,10.99,1.1,17.099,1,E,0.76,3.8,1,1,0,11.3,2.08,0.41,2777,-18.68,4232.4,1,4232.4,183.277,8.87
ECO03440,1.0,11.34,1.06,40.918,1,L,2.0,22.8,0,1,0,54.4,4.43,0.57,2778,-20.04,2679.5,1,2679.5,138.813,10.43
ECO03441,1.0,12.71,1.1,28.836,1,L,0.9,13.1,0,0,0,28.6,2.73,2.4,750,-19.53,3874.1,2,3810.5,183.308,9.41
ECO03442,1.0,12.97,1.02,21.634,1,E,2.14,23.8,0,1,0,105.0,3.35,2.6,1676,-22.5,7153.8,2,7254.1,183.326,11.21
ECO03443,1.0,12.47,1.01,28.511,1,L,1.7,32.8,0,1,0,68.8,3.36,2.18,2779,-21.61,3858.5,2,3869.6,183.342,10.47
ECO03444,1.0,11.75,1.08,16.12,1,L,0.67,20.8,1,1,0,37.8,1.81,1.84,2780,-20.71,7047.9,1,7026.4,183.407,9.61
ECO03445,1.0,11.75,1.13,16.126,1,L,0.65,7.8,1,0,0,17.1,1.72,1.82,2780,-19.56,7047.9,1,7058.6,183.415,9.01
ECO03446,1.0,11.47,1.1,7.201,2,E,2.17,12.8,1,1,1,54.9,3.87,0.36,2781,-20.43,2533.7,1,2533.7,183.46,10.31
ECO03447,1.0,11.38,1.17,17.549,1,L,2.11,9.0,1,1,0,19.8,3.86,0.16,2782,-20.17,5930.6,2,5930.6,183.496,10.27
ECO03448,1.0,11.97,1.07,24.067,1,E,2.5,5.5,0,1,1,22.7,4.44,4.32,2783,-21.13,6717.6,2,6669.6,183.521,10.71
ECO03449,1.0,11.4,1.13,-0.832,1,L,1.09,12.5,1,1,0,31.5,2.76,0.26,2784,-20.23,7304.5,2,7304.5,183.547,9.77
